CRN,Course,Course Title,Status,Enrollment Capacity,Enrollment,Waitlist Capacity,Waitlist Enrollment,Projected Enrl,Meeting Desc,Days,Time,BldgRoom,Class Room Attributes,Rec Mtg desc,Recitation Days,Recitation Time,Recitation BldgRoom,Rec Room Attributes,Lab Mtg Desc,Lab Days,Lab Time,Lab BldgRoom,Lab Room Attributes,Credit Hours,Bill Hours,Primary Instructor,Primary Instructor LIN,Secondary Instructors,Attributes,Part of Term,Schedule Code,Special Approval,Cross List Code,Link Identifier,Link Connector,Tuition Fees,Campus Code,Instructional Method,Grade Mode,Long_Title,Modalities,Long Text,Short Text
43031,CSE 003-110,"Intro to Programming, Part A",A,60,0,0,0,60,Class FLEX,MW,0920-1035, ,HyFlex 2A Lecture Hall,,,,,,,,,,,2,2,"Chen, Brian",869670991,"Sturdivant, Elroy (847995443)","CAMP, FLXC, Q",First Half Term,L,,CA,4Z,Z4,,T,,,"Introduction to Programming, Part A","On-Campus Required, FLEX - Classroom",,
45266,CSE 003-111,"Intro to Programming, Part A",A,5,0,0,0,5,Class FLEX,,-,ONLINE ,,,,,,,,,,,,2,2,"Chen, Brian",869670991,"Sturdivant, Elroy (847995443)","FLXR, Q, RMTA",First Half Term,L,DP,CA,4Z,Z4,,T,,,"Introduction to Programming, Part A","FLEX - Remote, Remote Asynchronous",,
45278,CSE 004-110,"Intro to Programming, Part B",A,60,0,0,0,60,Class FLEX,MW,0920-1035, ,HyFlex 2A Lecture Hall,,,,,,,,,,,2,2,"Chen, Brian",869670991,"Sturdivant, Elroy (847995443)","FLXC, Q",Second Half Term,L,,CA,6Q,Q6,,T,,,"Introduction to Programming, Part B",FLEX - Classroom,,
45363,CSE 004-111,"Intro to Programming, Part B",A,5,0,0,0,5,Class FLEX,,-,ONLINE ,,,,,,,,,,,,2,2,"Chen, Brian",869670991,"Sturdivant, Elroy (847995443)","FLXR, Q, RMTA",Second Half Term,L,DP,CA,6Q,Q6,,T,,,"Introduction to Programming, Part B","FLEX - Remote, Remote Asynchronous",,
44671,CSE 007-110,Introduction to Programming,A,170,0,0,0,180,Class FLEX,MW,0920-1035, ,"HyFlex 2A Lecture Hall, Table Tops",,,,,,,,,,,4,4,"Chen, Brian",869670991,"Sturdivant, Elroy (847995443)","FLXC, Q",Full Term,L,,CA,8C,C8,,T,,,Introduction to Programming,FLEX - Classroom,,
44672,CSE 007-111,Introduction to Programming,A,20,0,0,0,20,Class FLEX,,-,ONLINE ,,,,,,,,,,,,4,4,"Chen, Brian",869670991,"Sturdivant, Elroy (847995443)","FLXR, Q, RMTA",Full Term,L,DP,CA,8C,C8,,T,,,Introduction to Programming,"FLEX - Remote, Remote Asynchronous",,
43032,CSE 012-010,Intro to Python,A,45,0,5,0,50,Class On-Campus Only,MW,1915-2030, ,"Instr Station-Laptop Ready, Overhead projector, Table Tops",,,,,,,,,,,3,3,"Staff, Teaching",11111,,"CAMP, Q",Full Term,L,,CB,,,,T,,,Introduction to Programming with Python,On-Campus Required,,
45543,CSE 012-011,Intro to Python,A,40,0,0,0,40,Class On-Campus Only,MW,0755-0910, ,Instructor Station w/ Computer,,,,,,,,,,,3,3,"Staff, Teaching",11111,,"CAMP, Q",Full Term,L,,,,,,T,,,Introduction to Programming with Python,On-Campus Required,,
44506,CSE 017-110,Programming & Data Structures,A,150,0,0,0,160,Class FLEX,MW,0920-1010, ,"HyFlex 2 Classroom, Table Tops",,,,,,,,,,,3,3,"Oudghiri, Houria",810242490,"Tan, Jialiang (800088628)","CAMP, Q",Full Term,L,,CC,1U,U1,,T,,,Programming and Data Structures,On-Campus Required,,
44508,CSE 017-111,Programming & Data Structures,A,10,0,0,0,10,Class FLEX,,-,ONLINE ,,,,,,,,,,,,3,3,"Oudghiri, Houria",810242490,"Tan, Jialiang (800088628)","Q, RMTA",Full Term,L,DP,CC,1U,U1,,T,,,Programming and Data Structures,Remote Asynchronous,,
